station_id,code,name,zone,latitude,longitude,zone_code,region
37,STN00037,Station 37,CC,20.0,88.0,CC,CC
38,STN00038,Station 38,ECoR,20.0,88.5,ECoR,ECoR
39,STN00039,Station 39,CR,20.0,89.0,CR,CR
40,STN00040,Station 40,KR,20.0,89.5,KR,KR
41,STN00041,Station 41,ER,20.0,90.0,ER,ER
42,STN00042,Station 42,NCR,20.0,90.5,NCR,NCR
43,STN00043,Station 43,NR,20.0,91.0,NR,NR
44,STN00044,Station 44,NE,20.0,91.5,NE,NE
45,STN00045,Station 45,NF,20.0,92.0,NF,NF
46,STN00046,Station 46,NK,20.0,92.5,NK,NK
47,STN00047,Station 47,SR,20.0,93.0,SR,SR
48,STN00048,Station 48,SCoR,20.0,93.5,SCoR,SCoR
49,STN00049,Station 49,SCR,20.0,94.0,SCR,SCR
50,STN00050,Station 50,WR,20.0,94.5,WR,WR
51,STN00051,Station 51,WCR,20.0,95.0,WCR,WCR
52,STN00052,Station 52,CC,20.0,95.5,CC,CC
53,STN00053,Station 53,ECoR,20.0,96.0,ECoR,ECoR
54,STN00054,Station 54,CR,20.0,96.5,CR,CR
55,STN00055,Station 55,KR,20.0,97.0,KR,KR
56,STN00056,Station 56,ER,20.0,97.5,ER,ER
57,STN00057,Station 57,NCR,20.0,98.0,NCR,NCR
58,STN00058,Station 58,NR,20.0,98.5,NR,NR
59,STN00059,Station 59,NE,20.0,99.0,NE,NE
60,STN00060,Station 60,NF,20.0,99.5,NF,NF
61,STN00061,Station 61,NK,20.0,100.0,NK,NK
62,STN00062,Station 62,SR,20.0,100.5,SR,SR
63,STN00063,Station 63,SCoR,20.0,101.0,SCoR,SCoR
64,STN00064,Station 64,SCR,20.0,101.5,SCR,SCR
65,STN00065,Station 65,WR,20.0,102.0,WR,WR
66,STN00066,Station 66,WCR,20.0,102.5,WCR,WCR
67,STN00067,Station 67,CC,20.0,103.0,CC,CC
68,STN00068,Station 68,ECoR,20.0,103.5,ECoR,ECoR
69,STN00069,Station 69,CR,20.0,104.0,CR,CR
70,STN00070,Station 70,KR,20.0,104.5,KR,KR
71,STN00071,Station 71,ER,20.0,105.0,ER,ER
72,STN00072,Station 72,NCR,20.0,105.5,NCR,NCR
73,STN00073,Station 73,NR,20.0,106.0,NR,NR
74,STN00074,Station 74,NE,20.0,106.5,NE,NE
75,STN00075,Station 75,NF,20.0,107.0,NF,NF
76,STN00076,Station 76,NK,20.0,107.5,NK,NK
77,STN00077,Station 77,SR,20.0,108.0,SR,SR
78,STN00078,Station 78,SCoR,20.0,108.5,SCoR,SCoR
79,STN00079,Station 79,SCR,20.0,109.0,SCR,SCR
80,STN00080,Station 80,WR,20.0,109.5,WR,WR
81,STN00081,Station 81,WCR,20.0,110.0,WCR,WCR
82,STN00082,Station 82,CC,20.0,110.5,CC,CC
83,STN00083,Station 83,ECoR,20.0,111.0,ECoR,ECoR
84,STN00084,Station 84,CR,20.0,111.5,CR,CR
85,STN00085,Station 85,KR,20.0,112.0,KR,KR
86,STN00086,Station 86,ER,20.0,112.5,ER,ER
87,STN00087,Station 87,NCR,20.0,113.0,NCR,NCR
88,STN00088,Station 88,NR,20.0,113.5,NR,NR
89,STN00089,Station 89,NE,20.0,114.0,NE,NE
90,STN00090,Station 90,NF,20.0,114.5,NF,NF
91,STN00091,Station 91,NK,20.0,115.0,NK,NK
92,STN00092,Station 92,SR,20.0,115.5,SR,SR
93,STN00093,Station 93,SCoR,20.0,116.0,SCoR,SCoR
94,STN00094,Station 94,SCR,20.0,116.5,SCR,SCR
95,STN00095,Station 95,NCR,20.5,75.0,NCR,NCR
96,STN00096,Station 96,NR,20.5,75.5,NR,NR
97,STN00097,Station 97,NE,20.5,76.0,NE,NE
98,STN00098,Station 98,NF,20.5,76.5,NF,NF
99,STN00099,Station 99,NK,20.5,77.0,NK,NK
100,STN00100,Station 100,SR,20.5,77.5,SR,SR
101,STN00101,Station 101,SCoR,20.5,78.0,SCoR,SCoR
102,STN00102,Station 102,SCR,20.5,78.5,SCR,SCR
103,STN00103,Station 103,WR,20.5,79.0,WR,WR
104,STN00104,Station 104,WCR,20.5,79.5,WCR,WCR
105,STN00105,Station 105,CC,20.5,80.0,CC,CC
106,STN00106,Station 106,ECoR,20.5,80.5,ECoR,ECoR
107,STN00107,Station 107,CR,20.5,81.0,CR,CR
108,STN00108,Station 108,KR,20.5,81.5,KR,KR
109,STN00109,Station 109,ER,20.5,82.0,ER,ER
110,STN00110,Station 110,NCR,20.5,82.5,NCR,NCR
111,STN00111,Station 111,NR,20.5,83.0,NR,NR
112,STN00112,Station 112,NE,20.5,83.5,NE,NE
113,STN00113,Station 113,NF,20.5,84.0,NF,NF
114,STN00114,Station 114,NK,20.5,84.5,NK,NK
115,STN00115,Station 115,SR,20.5,85.0,SR,SR
116,STN00116,Station 116,SCoR,20.5,85.5,SCoR,SCoR
117,STN00117,Station 117,SCR,20.5,86.0,SCR,SCR
118,STN00118,Station 118,WR,20.5,86.5,WR,WR
119,STN00119,Station 119,WCR,20.5,87.0,WCR,WCR
120,STN00120,Station 120,CC,20.5,87.5,CC,CC
121,STN00121,Station 121,ECoR,20.5,88.0,ECoR,ECoR
122,STN00122,Station 122,CR,20.5,88.5,CR,CR
123,STN00123,Station 123,KR,20.5,89.0,KR,KR
124,STN00124,Station 124,ER,20.5,89.5,ER,ER
125,STN00125,Station 125,NCR,20.5,90.0,NCR,NCR
126,STN00126,Station 126,NR,20.5,90.5,NR,NR
127,STN00127,Station 127,NE,20.5,91.0,NE,NE
128,STN00128,Station 128,NF,20.5,91.5,NF,NF
129,STN00129,Station 129,NK,20.5,92.0,NK,NK
130,STN00130,Station 130,SR,20.5,92.5,SR,SR
131,STN00131,Station 131,SCoR,20.5,93.0,SCoR,SCoR
132,STN00132,Station 132,SCR,20.5,93.5,SCR,SCR
133,STN00133,Station 133,WR,20.5,94.0,WR,WR
134,STN00134,Station 134,WCR,20.5,94.5,WCR,WCR
135,STN00135,Station 135,CC,20.5,95.0,CC,CC
136,STN00136,Station 136,ECoR,20.5,95.5,ECoR,ECoR
137,STN00137,Station 137,CR,20.5,96.0,CR,CR
138,STN00138,Station 138,KR,20.5,96.5,KR,KR
139,STN00139,Station 139,ER,20.5,97.0,ER,ER
140,STN00140,Station 140,NCR,20.5,97.5,NCR,NCR
141,STN00141,Station 141,NR,20.5,98.0,NR,NR
142,STN00142,Station 142,NE,20.5,98.5,NE,NE
143,STN00143,Station 143,NF,20.5,99.0,NF,NF
144,STN00144,Station 144,NK,20.5,99.5,NK,NK
145,STN00145,Station 145,SR,20.5,100.0,SR,SR
146,STN00146,Station 146,SCoR,20.5,100.5,SCoR,SCoR
147,STN00147,Station 147,SCR,20.5,101.0,SCR,SCR
148,STN00148,Station 148,WR,20.5,101.5,WR,WR
149,STN00149,Station 149,WCR,20.5,102.0,WCR,WCR
150,STN00150,Station 150,CC,20.5,102.5,CC,CC
151,STN00151,Station 151,ECoR,20.5,103.0,ECoR,ECoR
152,STN00152,Station 152,CR,20.5,103.5,CR,CR
153,STN00153,Station 153,KR,20.5,104.0,KR,KR
154,STN00154,Station 154,ER,20.5,104.5,ER,ER
155,STN00155,Station 155,NCR,20.5,105.0,NCR,NCR
156,STN00156,Station 156,NR,20.5,105.5,NR,NR
157,STN00157,Station 157,NE,20.5,106.0,NE,NE
158,STN00158,Station 158,NF,20.5,106.5,NF,NF
159,STN00159,Station 159,NK,20.5,107.0,NK,NK
160,STN00160,Station 160,SR,20.5,107.5,SR,SR
161,STN00161,Station 161,SCoR,20.5,108.0,SCoR,SCoR
162,STN00162,Station 162,SCR,20.5,108.5,SCR,SCR
163,STN00163,Station 163,WR,20.5,109.0,WR,WR
164,STN00164,Station 164,WCR,20.5,109.5,WCR,WCR
165,STN00165,Station 165,CC,20.5,110.0,CC,CC
166,STN00166,Station 166,ECoR,20.5,110.5,ECoR,ECoR
167,STN00167,Station 167,CR,20.5,111.0,CR,CR
168,STN00168,Station 168,KR,20.5,111.5,KR,KR
169,STN00169,Station 169,ER,20.5,112.0,ER,ER
170,STN00170,Station 170,NCR,20.5,112.5,NCR,NCR
171,STN00171,Station 171,NR,20.5,113.0,NR,NR
172,STN00172,Station 172,NE,20.5,113.5,NE,NE
173,STN00173,Station 173,NF,20.5,114.0,NF,NF
174,STN00174,Station 174,NK,20.5,114.5,NK,NK
175,STN00175,Station 175,SR,20.5,115.0,SR,SR
176,STN00176,Station 176,SCoR,20.5,115.5,SCoR,SCoR
177,STN00177,Station 177,SCR,20.5,116.0,SCR,SCR
178,STN00178,Station 178,WR,20.5,116.5,WR,WR
179,STN00179,Station 179,NR,21.0,75.0,NR,NR
180,STN00180,Station 180,NE,21.0,75.5,NE,NE
181,STN00181,Station 181,NF,21.0,76.0,NF,NF
182,STN00182,Station 182,NK,21.0,76.5,NK,NK
183,STN00183,Station 183,SR,21.0,77.0,SR,SR
184,STN00184,Station 184,SCoR,21.0,77.5,SCoR,SCoR
185,STN00185,Station 185,SCR,21.0,78.0,SCR,SCR
186,STN00186,Station 186,WR,21.0,78.5,WR,WR
187,STN00187,Station 187,WCR,21.0,79.0,WCR,WCR
188,STN00188,Station 188,CC,21.0,79.5,CC,CC
189,STN00189,Station 189,ECoR,21.0,80.0,ECoR,ECoR
190,STN00190,Station 190,CR,21.0,80.5,CR,CR
191,STN00191,Station 191,KR,21.0,81.0,KR,KR
192,STN00192,Station 192,ER,21.0,81.5,ER,ER
193,STN00193,Station 193,NCR,21.0,82.0,NCR,NCR
194,STN00194,Station 194,NR,21.0,82.5,NR,NR
195,STN00195,Station 195,NE,21.0,83.0,NE,NE
196,STN00196,Station 196,NF,21.0,83.5,NF,NF
197,STN00197,Station 197,NK,21.0,84.0,NK,NK
198,STN00198,Station 198,SR,21.0,84.5,SR,SR
199,STN00199,Station 199,SCoR,21.0,85.0,SCoR,SCoR
200,STN00200,Station 200,SCR,21.0,85.5,SCR,SCR
201,STN00201,Station 201,WR,21.0,86.0,WR,WR
202,STN00202,Station 202,WCR,21.0,86.5,WCR,WCR
203,STN00203,Station 203,CC,21.0,87.0,CC,CC
204,STN00204,Station 204,ECoR,21.0,87.5,ECoR,ECoR
205,STN00205,Station 205,CR,21.0,88.0,CR,CR
206,STN00206,Station 206,KR,21.0,88.5,KR,KR
207,STN00207,Station 207,ER,21.0,89.0,ER,ER
208,STN00208,Station 208,NCR,21.0,89.5,NCR,NCR
209,STN00209,Station 209,NR,21.0,90.0,NR,NR
210,STN00210,Station 210,NE,21.0,90.5,NE,NE
211,STN00211,Station 211,NF,21.0,91.0,NF,NF
212,STN00212,Station 212,NK,21.0,91.5,NK,NK
213,STN00213,Station 213,SR,21.0,92.0,SR,SR
214,STN00214,Station 214,SCoR,21.0,92.5,SCoR,SCoR
215,STN00215,Station 215,SCR,21.0,93.0,SCR,SCR
216,STN00216,Station 216,WR,21.0,93.5,WR,WR
217,STN00217,Station 217,WCR,21.0,94.0,WCR,WCR
218,STN00218,Station 218,CC,21.0,94.5,CC,CC
219,STN00219,Station 219,ECoR,21.0,95.0,ECoR,ECoR
220,STN00220,Station 220,CR,21.0,95.5,CR,CR
221,STN00221,Station 221,KR,21.0,96.0,KR,KR
222,STN00222,Station 222,ER,21.0,96.5,ER,ER
223,STN00223,Station 223,NCR,21.0,97.0,NCR,NCR
224,STN00224,Station 224,NR,21.0,97.5,NR,NR
225,STN00225,Station 225,NE,21.0,98.0,NE,NE
226,STN00226,Station 226,NF,21.0,98.5,NF,NF
227,STN00227,Station 227,NK,21.0,99.0,NK,NK
228,STN00228,Station 228,SR,21.0,99.5,SR,SR
229,STN00229,Station 229,SCoR,21.0,100.0,SCoR,SCoR
230,STN00230,Station 230,SCR,21.0,100.5,SCR,SCR
231,STN00231,Station 231,WR,21.0,101.0,WR,WR
232,STN00232,Station 232,WCR,21.0,101.5,WCR,WCR
233,STN00233,Station 233,CC,21.0,102.0,CC,CC
234,STN00234,Station 234,ECoR,21.0,102.5,ECoR,ECoR
235,STN00235,Station 235,CR,21.0,103.0,CR,CR
236,STN00236,Station 236,KR,21.0,103.5,KR,KR
237,STN00237,Station 237,ER,21.0,104.0,ER,ER
238,STN00238,Station 238,NCR,21.0,104.5,NCR,NCR
239,STN00239,Station 239,NR,21.0,105.0,NR,NR
240,STN00240,Station 240,NE,21.0,105.5,NE,NE
241,STN00241,Station 241,NF,21.0,106.0,NF,NF
242,STN00242,Station 242,NK,21.0,106.5,NK,NK
243,STN00243,Station 243,SR,21.0,107.0,SR,SR
244,STN00244,Station 244,SCoR,21.0,107.5,SCoR,SCoR
245,STN00245,Station 245,SCR,21.0,108.0,SCR,SCR
246,STN00246,Station 246,WR,21.0,108.5,WR,WR
247,STN00247,Station 247,WCR,21.0,109.0,WCR,WCR
248,STN00248,Station 248,CC,21.0,109.5,CC,CC
249,STN00249,Station 249,ECoR,21.0,110.0,ECoR,ECoR
250,STN00250,Station 250,CR,21.0,110.5,CR,CR
251,STN00251,Station 251,KR,21.0,111.0,KR,KR
252,STN00252,Station 252,ER,21.0,111.5,ER,ER
253,STN00253,Station 253,NCR,21.0,112.0,NCR,NCR
254,STN00254,Station 254,NR,21.0,112.5,NR,NR
255,STN00255,Station 255,NE,21.0,113.0,NE,NE
256,STN00256,Station 256,NF,21.0,113.5,NF,NF
257,STN00257,Station 257,NK,21.0,114.0,NK,NK
258,STN00258,Station 258,SR,21.0,114.5,SR,SR
259,STN00259,Station 259,SCoR,21.0,115.0,SCoR,SCoR
260,STN00260,Station 260,SCR,21.0,115.5,SCR,SCR
261,STN00261,Station 261,WR,21.0,116.0,WR,WR
262,STN00262,Station 262,WCR,21.0,116.5,WCR,WCR
263,STN00263,Station 263,NE,21.5,75.0,NE,NE
264,STN00264,Station 264,NF,21.5,75.5,NF,NF
265,STN00265,Station 265,NK,21.5,76.0,NK,NK
266,STN00266,Station 266,SR,21.5,76.5,SR,SR
267,STN00267,Station 267,SCoR,21.5,77.0,SCoR,SCoR
268,STN00268,Station 268,SCR,21.5,77.5,SCR,SCR
269,STN00269,Station 269,WR,21.5,78.0,WR,WR
270,STN00270,Station 270,WCR,21.5,78.5,WCR,WCR
271,STN00271,Station 271,CC,21.5,79.0,CC,CC
272,STN00272,Station 272,ECoR,21.5,79.5,ECoR,ECoR
273,STN00273,Station 273,CR,21.5,80.0,CR,CR
274,STN00274,Station 274,KR,21.5,80.5,KR,KR
275,STN00275,Station 275,ER,21.5,81.0,ER,ER
276,STN00276,Station 276,NCR,21.5,81.5,NCR,NCR
277,STN00277,Station 277,NR,21.5,82.0,NR,NR
278,STN00278,Station 278,NE,21.5,82.5,NE,NE
279,STN00279,Station 279,NF,21.5,83.0,NF,NF
280,STN00280,Station 280,NK,21.5,83.5,NK,NK
281,STN00281,Station 281,SR,21.5,84.0,SR,SR
282,STN00282,Station 282,SCoR,21.5,84.5,SCoR,SCoR
283,STN00283,Station 283,SCR,21.5,85.0,SCR,SCR
284,STN00284,Station 284,WR,21.5,85.5,WR,WR
285,STN00285,Station 285,WCR,21.5,86.0,WCR,WCR
286,STN00286,Station 286,CC,21.5,86.5,CC,CC
287,STN00287,Station 287,ECoR,21.5,87.0,ECoR,ECoR
288,STN00288,Station 288,CR,21.5,87.5,CR,CR
289,STN00289,Station 289,KR,21.5,88.0,KR,KR
290,STN00290,Station 290,ER,21.5,88.5,ER,ER
291,STN00291,Station 291,NCR,21.5,89.0,NCR,NCR
292,STN00292,Station 292,NR,21.5,89.5,NR,NR
293,STN00293,Station 293,NE,21.5,90.0,NE,NE
294,STN00294,Station 294,NF,21.5,90.5,NF,NF
295,STN00295,Station 295,NK,21.5,91.0,NK,NK
296,STN00296,Station 296,SR,21.5,91.5,SR,SR
297,STN00297,Station 297,SCoR,21.5,92.0,SCoR,SCoR
298,STN00298,Station 298,SCR,21.5,92.5,SCR,SCR
299,STN00299,Station 299,WR,21.5,93.0,WR,WR
300,STN00300,Station 300,WCR,21.5,93.5,WCR,WCR
301,STN00301,Station 301,CC,21.5,94.0,CC,CC
302,STN00302,Station 302,ECoR,21.5,94.5,ECoR,ECoR
303,STN00303,Station 303,CR,21.5,95.0,CR,CR
304,STN00304,Station 304,KR,21.5,95.5,KR,KR
305,STN00305,Station 305,ER,21.5,96.0,ER,ER
306,STN00306,Station 306,NCR,21.5,96.5,NCR,NCR
307,STN00307,Station 307,NR,21.5,97.0,NR,NR
308,STN00308,Station 308,NE,21.5,97.5,NE,NE
309,STN00309,Station 309,NF,21.5,98.0,NF,NF
310,STN00310,Station 310,NK,21.5,98.5,NK,NK
311,STN00311,Station 311,SR,21.5,99.0,SR,SR
312,STN00312,Station 312,SCoR,21.5,99.5,SCoR,SCoR
313,STN00313,Station 313,SCR,21.5,100.0,SCR,SCR
314,STN00314,Station 314,WR,21.5,100.5,WR,WR
315,STN00315,Station 315,WCR,21.5,101.0,WCR,WCR
316,STN00316,Station 316,CC,21.5,101.5,CC,CC
317,STN00317,Station 317,ECoR,21.5,102.0,ECoR,ECoR
318,STN00318,Station 318,CR,21.5,102.5,CR,CR
319,STN00319,Station 319,KR,21.5,103.0,KR,KR
320,STN00320,Station 320,ER,21.5,103.5,ER,ER
321,STN00321,Station 321,NCR,21.5,104.0,NCR,NCR
322,STN00322,Station 322,NR,21.5,104.5,NR,NR
323,STN00323,Station 323,NE,21.5,105.0,NE,NE
324,STN00324,Station 324,NF,21.5,105.5,NF,NF
325,STN00325,Station 325,NK,21.5,106.0,NK,NK
326,STN00326,Station 326,SR,21.5,106.5,SR,SR
327,STN00327,Station 327,SCoR,21.5,107.0,SCoR,SCoR
328,STN00328,Station 328,SCR,21.5,107.5,SCR,SCR
329,STN00329,Station 329,WR,21.5,108.0,WR,WR
330,STN00330,Station 330,WCR,21.5,108.5,WCR,WCR
331,STN00331,Station 331,CC,21.5,109.0,CC,CC
332,STN00332,Station 332,ECoR,21.5,109.5,ECoR,ECoR
333,STN00333,Station 333,CR,21.5,110.0,CR,CR
334,STN00334,Station 334,KR,21.5,110.5,KR,KR
335,STN00335,Station 335,ER,21.5,111.0,ER,ER
336,STN00336,Station 336,NCR,21.5,111.5,NCR,NCR
337,STN00337,Station 337,NR,21.5,112.0,NR,NR
338,STN00338,Station 338,NE,21.5,112.5,NE,NE
339,STN00339,Station 339,NF,21.5,113.0,NF,NF
340,STN00340,Station 340,NK,21.5,113.5,NK,NK
341,STN00341,Station 341,SR,21.5,114.0,SR,SR
342,STN00342,Station 342,SCoR,21.5,114.5,SCoR,SCoR
343,STN00343,Station 343,SCR,21.5,115.0,SCR,SCR
344,STN00344,Station 344,WR,21.5,115.5,WR,WR
345,STN00345,Station 345,WCR,21.5,116.0,WCR,WCR
346,STN00346,Station 346,CC,21.5,116.5,CC,CC
347,STN00347,Station 347,NF,22.0,75.0,NF,NF
348,STN00348,Station 348,NK,22.0,75.5,NK,NK
349,STN00349,Station 349,SR,22.0,76.0,SR,SR
350,STN00350,Station 350,SCoR,22.0,76.5,SCoR,SCoR
351,STN00351,Station 351,SCR,22.0,77.0,SCR,SCR
352,STN00352,Station 352,WR,22.0,77.5,WR,WR
353,STN00353,Station 353,WCR,22.0,78.0,WCR,WCR
354,STN00354,Station 354,CC,22.0,78.5,CC,CC
355,STN00355,Station 355,ECoR,22.0,79.0,ECoR,ECoR
356,STN00356,Station 356,CR,22.0,79.5,CR,CR
357,STN00357,Station 357,KR,22.0,80.0,KR,KR
358,STN00358,Station 358,ER,22.0,80.5,ER,ER
359,STN00359,Station 359,NCR,22.0,81.0,NCR,NCR
360,STN00360,Station 360,NR,22.0,81.5,NR,NR
361,STN00361,Station 361,NE,22.0,82.0,NE,NE
362,STN00362,Station 362,NF,22.0,82.5,NF,NF
363,STN00363,Station 363,NK,22.0,83.0,NK,NK
364,STN00364,Station 364,SR,22.0,83.5,SR,SR
365,STN00365,Station 365,SCoR,22.0,84.0,SCoR,SCoR
366,STN00366,Station 366,SCR,22.0,84.5,SCR,SCR
367,STN00367,Station 367,WR,22.0,85.0,WR,WR
368,STN00368,Station 368,WCR,22.0,85.5,WCR,WCR
369,STN00369,Station 369,CC,22.0,86.0,CC,CC
370,STN00370,Station 370,ECoR,22.0,86.5,ECoR,ECoR
371,STN00371,Station 371,CR,22.0,87.0,CR,CR
372,STN00372,Station 372,KR,22.0,87.5,KR,KR
373,STN00373,Station 373,ER,22.0,88.0,ER,ER
374,STN00374,Station 374,NCR,22.0,88.5,NCR,NCR
375,STN00375,Station 375,NR,22.0,89.0,NR,NR
376,STN00376,Station 376,NE,22.0,89.5,NE,NE
377,STN00377,Station 377,NF,22.0,90.0,NF,NF
378,STN00378,Station 378,NK,22.0,90.5,NK,NK
379,STN00379,Station 379,SR,22.0,91.0,SR,SR
380,STN00380,Station 380,SCoR,22.0,91.5,SCoR,SCoR
381,STN00381,Station 381,SCR,22.0,92.0,SCR,SCR
382,STN00382,Station 382,WR,22.0,92.5,WR,WR
383,STN00383,Station 383,WCR,22.0,93.0,WCR,WCR
384,STN00384,Station 384,CC,22.0,93.5,CC,CC
385,STN00385,Station 385,ECoR,22.0,94.0,ECoR,ECoR
386,STN00386,Station 386,CR,22.0,94.5,CR,CR
387,STN00387,Station 387,KR,22.0,95.0,KR,KR
388,STN00388,Station 388,ER,22.0,95.5,ER,ER
389,STN00389,Station 389,NCR,22.0,96.0,NCR,NCR
390,STN00390,Station 390,NR,22.0,96.5,NR,NR
391,STN00391,Station 391,NE,22.0,97.0,NE,NE
392,STN00392,Station 392,NF,22.0,97.5,NF,NF
393,STN00393,Station 393,NK,22.0,98.0,NK,NK
394,STN00394,Station 394,SR,22.0,98.5,SR,SR
395,STN00395,Station 395,SCoR,22.0,99.0,SCoR,SCoR
396,STN00396,Station 396,SCR,22.0,99.5,SCR,SCR
397,STN00397,Station 397,WR,22.0,100.0,WR,WR
398,STN00398,Station 398,WCR,22.0,100.5,WCR,WCR
399,STN00399,Station 399,CC,22.0,101.0,CC,CC
400,STN00400,Station 400,ECoR,22.0,101.5,ECoR,ECoR
401,STN00401,Station 401,CR,22.0,102.0,CR,CR
402,STN00402,Station 402,KR,22.0,102.5,KR,KR
403,STN00403,Station 403,ER,22.0,103.0,ER,ER
404,STN00404,Station 404,NCR,22.0,103.5,NCR,NCR
405,STN00405,Station 405,NR,22.0,104.0,NR,NR
406,STN00406,Station 406,NE,22.0,104.5,NE,NE
407,STN00407,Station 407,NF,22.0,105.0,NF,NF
408,STN00408,Station 408,NK,22.0,105.5,NK,NK
409,STN00409,Station 409,SR,22.0,106.0,SR,SR
410,STN00410,Station 410,SCoR,22.0,106.5,SCoR,SCoR
411,STN00411,Station 411,SCR,22.0,107.0,SCR,SCR
412,STN00412,Station 412,WR,22.0,107.5,WR,WR
413,STN00413,Station 413,WCR,22.0,108.0,WCR,WCR
414,STN00414,Station 414,CC,22.0,108.5,CC,CC
415,STN00415,Station 415,ECoR,22.0,109.0,ECoR,ECoR
416,STN00416,Station 416,CR,22.0,109.5,CR,CR
417,STN00417,Station 417,KR,22.0,110.0,KR,KR
418,STN00418,Station 418,ER,22.0,110.5,ER,ER
419,STN00419,Station 419,NCR,22.0,111.0,NCR,NCR
420,STN00420,Station 420,NR,22.0,111.5,NR,NR
421,STN00421,Station 421,NE,22.0,112.0,NE,NE
422,STN00422,Station 422,NF,22.0,112.5,NF,NF
423,STN00423,Station 423,NK,22.0,113.0,NK,NK
424,STN00424,Station 424,SR,22.0,113.5,SR,SR
425,STN00425,Station 425,SCoR,22.0,114.0,SCoR,SCoR
426,STN00426,Station 426,SCR,22.0,114.5,SCR,SCR
427,STN00427,Station 427,WR,22.0,115.0,WR,WR
428,STN00428,Station 428,WCR,22.0,115.5,WCR,WCR
429,STN00429,Station 429,CC,22.0,116.0,CC,CC
430,STN00430,Station 430,ECoR,22.0,116.5,ECoR,ECoR
431,STN00431,Station 431,NK,22.5,75.0,NK,NK
432,STN00432,Station 432,SR,22.5,75.5,SR,SR
433,STN00433,Station 433,SCoR,22.5,76.0,SCoR,SCoR
434,STN00434,Station 434,SCR,22.5,76.5,SCR,SCR
435,STN00435,Station 435,WR,22.5,77.0,WR,WR
436,STN00436,Station 436,WCR,22.5,77.5,WCR,WCR
437,STN00437,Station 437,CC,22.5,78.0,CC,CC
438,STN00438,Station 438,ECoR,22.5,78.5,ECoR,ECoR
439,STN00439,Station 439,CR,22.5,79.0,CR,CR
440,STN00440,Station 440,KR,22.5,79.5,KR,KR
441,STN00441,Station 441,ER,22.5,80.0,ER,ER
442,STN00442,Station 442,NCR,22.5,80.5,NCR,NCR
443,STN00443,Station 443,NR,22.5,81.0,NR,NR
444,STN00444,Station 444,NE,22.5,81.5,NE,NE
445,STN00445,Station 445,NF,22.5,82.0,NF,NF
446,STN00446,Station 446,NK,22.5,82.5,NK,NK
447,STN00447,Station 447,SR,22.5,83.0,SR,SR
448,STN00448,Station 448,SCoR,22.5,83.5,SCoR,SCoR
449,STN00449,Station 449,SCR,22.5,84.0,SCR,SCR
450,STN00450,Station 450,WR,22.5,84.5,WR,WR
451,STN00451,Station 451,WCR,22.5,85.0,WCR,WCR
452,STN00452,Station 452,CC,22.5,85.5,CC,CC
453,STN00453,Station 453,ECoR,22.5,86.0,ECoR,ECoR
454,STN00454,Station 454,CR,22.5,86.5,CR,CR
455,STN00455,Station 455,KR,22.5,87.0,KR,KR
456,STN00456,Station 456,ER,22.5,87.5,ER,ER
457,STN00457,Station 457,NCR,22.5,88.0,NCR,NCR
458,STN00458,Station 458,NR,22.5,88.5,NR,NR
